frame,id,x1,y1,x2,y2,cls,conf
1290,4,227.75894165039062,95.84991455078125,320.0808410644531,167.03921508789062,63,1.0
1290,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
1290,6,0.22722625732421875,42.56925964355469,101.70352935791016,122.84455871582031,68,1.0
1290,7,305.72564697265625,538.32275390625,479.51727294921875,639.4697265625,56,1.0
1290,8,303.85528564453125,12.336090087890625,416.5137939453125,96.04866027832031,62,1.0
1320,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
1320,2,87.64181518554688,415.79022216796875,215.64199829101562,552.5213012695312,63,1.0
1320,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
1320,4,221.109375,74.5665283203125,294.0953369140625,144.78228759765625,63,1.0
1320,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
1320,6,0.22722625732421875,42.56925964355469,101.70352935791016,122.84455871582031,68,1.0
1320,7,305.72564697265625,538.32275390625,479.51727294921875,639.4697265625,56,1.0
1320,8,303.85528564453125,12.336090087890625,416.5137939453125,96.04866027832031,62,1.0
1350,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
1350,2,87.64181518554688,415.79022216796875,215.64199829101562,552.5213012695312,63,1.0
1350,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
1350,4,221.109375,74.5665283203125,294.0953369140625,144.78228759765625,63,1.0
1350,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
1350,6,0.22722625732421875,42.56925964355469,101.70352935791016,122.84455871582031,68,1.0
1350,7,305.72564697265625,538.32275390625,479.51727294921875,639.4697265625,56,1.0
1350,8,303.85528564453125,12.336090087890625,416.5137939453125,96.04866027832031,62,1.0
1350,9,141.2091064453125,83.34562683105469,224.9119873046875,152.48910522460938,63,1.0
1380,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
1380,2,0.4224853515625,262.98614501953125,277.86962890625,639.4373168945312,56,1.0
1380,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
1380,4,221.109375,74.5665283203125,294.0953369140625,144.78228759765625,63,1.0
1380,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
1380,6,0.22722625732421875,42.56925964355469,101.70352935791016,122.84455871582031,68,1.0
1380,7,305.72564697265625,538.32275390625,479.51727294921875,639.4697265625,56,1.0
1380,8,303.85528564453125,12.336090087890625,416.5137939453125,96.04866027832031,62,1.0
1380,9,141.2091064453125,83.34562683105469,224.9119873046875,152.48910522460938,63,1.0
1380,10,32.21323013305664,119.09445190429688,131.75363159179688,186.1328125,63,1.0
1410,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
1410,2,0.4224853515625,262.98614501953125,277.86962890625,639.4373168945312,56,1.0
1410,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
1410,4,221.109375,74.5665283203125,294.0953369140625,144.78228759765625,63,1.0
1410,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
1410,6,0.0,55.085845947265625,111.88435363769531,141.2650604248047,62,1.0
1410,7,305.72564697265625,538.32275390625,479.51727294921875,639.4697265625,56,1.0
1410,8,303.85528564453125,12.336090087890625,416.5137939453125,96.04866027832031,62,1.0
1410,9,141.2091064453125,83.34562683105469,224.9119873046875,152.48910522460938,63,1.0
1410,10,32.21323013305664,119.09445190429688,131.75363159179688,186.1328125,63,1.0
1440,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
1440,2,0.4224853515625,262.98614501953125,277.86962890625,639.4373168945312,56,1.0
1440,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
